venda_id,produto_id,quantidade,data,total,produtos
1,,,06/03/25 02:20,480.0,"[{""produto_id"": 20370, ""nome"": ""LUBRIFICANTES"", ""quantidade"": 1.0, ""preco_unitario"": 40.0, ""total"": 40.0, ""obs"": """"}, {""produto_id"": 20372, ""nome"": ""OLEO HIDRAULICO"", ""quantidade"": 15.0, ""preco_unitario"": 18.0, ""total"": 270.0, ""obs"": """"}, {""produto_id"": 20370, ""nome"": ""LUBRIFICANTES"", ""quantidade"": 1.0, ""preco_unitario"": 40.0, ""total"": 40.0, ""obs"": """"}, {""produto_id"": 20373, ""nome"": ""15W40"", ""quantidade"": 5.0, ""preco_unitario"": 26.0, ""total"": 130.0, ""obs"": """"}]"
2,,,06/03/25 10:01,58.0,"[{""produto_id"": 20370, ""nome"": ""LUBRIFICANTES"", ""quantidade"": 1.0, ""preco_unitario"": 40.0, ""total"": 40.0, ""obs"": """"}, {""produto_id"": 20372, ""nome"": ""OLEO HIDRAULICO"", ""quantidade"": 1.0, ""preco_unitario"": 18.0, ""total"": 18.0, ""obs"": """"}]"
3,,,07/03/25 09:56,520.0,"[{""produto_id"": 20370, ""nome"": ""LUBRIFICANTES"", ""quantidade"": 10.0, ""preco_unitario"": 40.0, ""total"": 400.0, ""obs"": """"}, {""produto_id"": 20371, ""nome"": ""5W30"", ""quantidade"": 4.0, ""preco_unitario"": 30.0, ""total"": 120.0, ""obs"": """"}]"
