produto_id,quantidade,nome
20531,100,PALIO 01/07 / DOBLO 04/09 / STILO 02/11 14''
20532,100,IDEA/IDEA ADV 06/10 16''
20533,100,PALIO 08 / IDEA 12 12''
20534,100,PALIO 04 / PALIO WEEK 01/03 15''
20535,100,PUNTO 08 12''
20536,100,UNO/PALIO WEEK 97/00 / IDEA 13''
20537,100,FORD
20538,100,FIESTA 00/05 12''
20539,100,FOCUS 08/12 14''
20540,100,KA 02/13 13''
20541,100,GM
20542,100,ONIX 13 / AGILE 10 / CELTA 14 / 12''
20543,100,SPIN 12 11''
20544,100,CORSA 4P/CORSA WEGON / BLAZER 13''
20545,100,CORSA HATCH / MERIVA /CELTA 04 15''
20546,100,VW
20547,100,GOL 10'' SILICONE
20548,100,GOL/PARATI/SPACEFOX 05/12 14''
20549,100,GOL G3 99/05 16''
20550,100,FOX/GOLF 08 /POLO 13 12''
20551,100,PARATI G3 / POLO 99/02 13''
20552,100,IMPORTADOS
20553,100,C3 09 12''
20554,100,C3 02/08 14''
20555,100,CRV 14 12''
20556,100,FIT NEW 09/14 14''
20557,100,SANTA FE 01/06 13''
20558,100,TUCSON 05/ 12''
20559,100,SPORTAGE 12''
20560,100,PICANTO 06/11 12''
20561,100,GRADE DO RADIADOR
20562,100,FIAT
20563,100,FIORINO 95 ...
20564,100,UNO 85/90 COMPLETA
20565,100,UNO 91/98
20566,100,M13338 UNO SMART
20567,100,M13320 UNO FIRE/FIORIONO 02/04
20568,100,UNO MILLE ELETRONIC FILETADA
20569,100,UNO FIRE 04/05
20570,100,UNO FIRE FLEX 06/08
20571,100,M13344 UNO/FIORINO 09...
20572,100,UNO ATRACTIVE 15/16
20573,100,UNO 17...
20574,100,M15300 PALIO/STRADA 01/03
20575,100,M15313 PALIO 05... C/MOLDURA PRETA
20576,100,MS10341 ROTULA CAMBIO GOL 86/94
20577,100,M15314 PALIO 08/11 /SIENA/WEEK/STRADA F/CROMADO
20578,100,M15315 PALIO 08/11 /SIENA/WEEK/STRADA F/PRETO
20579,100,M15318 PALIO/SIENA ECONOMY F/CROMADO
20580,100,IDEA 03/10
20581,100,GRAN SIENA 13... CROMADA
20582,100,MOBI 14...
20583,100,ARGO 17...
20584,100,FORD
20585,100,F1000 85/92 PRETA
20586,100,DEL REY 85/92 PLASTICO
20587,100,COURIE 96/99
20588,100,M34312 COURIER 00/12
20589,100,FIESTA 96/99
20590,100,FIESTA STREET 00/06
20591,100,FIESTA SUPERCHARGE 03/06
20592,100,FIESTA SEDAN 00/06
20593,100,M24307 FIESTA 07/10
20594,100,M24314 FIESTA 11/14
20595,100,FIESTA HATCH 14... FRISO CROMADO
20596,100,M24308 FIESTA HATCH 14... FRISO PRETO
20597,100,KA 97/00
20598,100,KA 01/03
20599,100,KA 04/07
20600,100,KA 14...
20601,100,ECOSPORT 03/07
20602,100,ECOSPORT 08/10
20603,100,FOCUS 03...
20604,100,GM
20605,100,OPALA 87/90
20606,100,OPALA 91/92
20607,100,M35300 CORSA 99/03 PRETA
20608,100,M35325 CORSA LIFE 08/10
20609,100,M32303 MONZA SLE 91/96
20610,100,MONZA 88/90
20611,100,M33301 KADETT 96/98
20612,100,ASTRA 98/02
20613,100,ASTRA 03... MOLDURA CROMADA
20614,100,ASTRA 03... MOLDURA PRETA
20615,100,MERIVA 02...
20616,100,MERIVA 10... FRISO CROMADO
20617,100,M38310 VECTRA 94/96
20618,100,M38300 VECTRA 97...
20619,100,VECTRA 97... COM MOLDURA CROMADA
20620,100,M38312 VECTRA 06/08 F/CROMADO
20621,100,VECTRA 09...
20622,100,CORSA SEDAN 03...
20623,100,M35310 CORSA/MONTANA 02/07
20624,100,CORSA/MONTANA 02/07 CROMADA
20625,100,CORSA/MONTANA 08/12 CROMADA
20626,100,CORSA/MONTANA 08/12 PRETA
20627,100,M35326 CLASSIC 11/16
20628,100,M35301 CORSA CLASSIC 10...
20629,100,M36320 CELTA/PRISMA 12... FRISO PRETO
20630,100,CELTA/PRISMA 12... FRISO CROMADO
20631,100,ONIX/PRISMA 13...
20632,100,ONIX/PRISMA 17...
20633,100,AGILE/MONTANA 10/12 C/FRISO
20634,100,VW
20635,100,M48312 KOMBI 06/08
20636,100,M48313 KOMBI 09...
20637,100,M48311 KOMBI 00...
20638,100,M45330 GOL 91/94 PRETA
20639,100,M45336 GOL 91/94 PRETA SEM EMBLEMA
20640,100,M45340 GOL 95/98 PRETA
20641,100,M45343 GOL/PARATI/SAVEIRO G3 FASE 1
20642,100,M45345 GOL/PARATI/SAVEIRO G3 FASE 2
20643,100,M45368 GOL G5 O9/12
20644,100,M45370 GOL G6 12...
20645,100,GOL G7 16..
20646,100,M48370 GOLF 94/99
20647,100,M48371 GOLF 00/07
20648,100,M48320 FOX 10/14
20649,100,FOX 15... C/FRISO CROMADO
20650,100,SANTANA 91/94
20651,100,M47310 SANTANA 95/98
20652,100,SANTANA 99...
20653,100,IMPORTADOS
20654,100,FIT 04/06
20655,100,FIT 07...
20656,100,MOLDURA FIT 07
20657,100,CLIO 13...
20658,100,LOGAN 12/14
20659,100,LOGAN 14...
20660,100,KWID 17...
20661,100,HB20 12/15 EXTERNA
20662,100,HB20 12/15 INTERNA
20663,100,HB20 SEDAN 16...INTERNA
20664,100,HB20 SEDAN 16... EXTERNA
20665,100,HB20 HACTH 16... INTERNA
20666,100,HB20 HACTH 16... EXTERNA
20667,100,HB20 HACTH 18... INTERNA
20668,100,HB20 HACTH 18... EXTERNA
20669,100,GRADE/ABAIXO PARABRISA
20670,100,FIAT
